Date,WMT,COST,TGT,AMZN,BBY
2/21/2001,36.147961,31.142984,25.431589,11.9375,12.933795
2/22/2001,35.780807,31.050274,26.162374,11.9375,12.973701
2/23/2001,36.198364,30.679525,26.118525,11.8125,12.970382
2/26/2001,36.76712,31.79178,27.623955,11.9375,14.29403
2/27/2001,36.709518,31.884455,28.040524,11.75,14.091156
2/28/2001,36.061584,30.957596,28.500912,10.1875,13.622222
3/1/2001,34.801678,29.891691,27.251263,10.4375,12.937122
3/2/2001,35.219242,28.686752,27.002783,10,13.336205
3/5/2001,34.823284,27.94525,26.600855,12.625,13.302953
3/6/2001,35.67281,28.037928,27.770117,11.875,13.884959
3/7/2001,36.500725,29.61363,27.989357,12.25,13.801814
3/8/2001,37.184673,29.799006,27.770117,11.6875,15.434756
3/9/2001,36.558315,29.196545,27.477804,12.25,15.63097
3/12/2001,34.780079,28.130625,26.68124,10.625,15.195299
3/13/2001,35.132847,28.22332,26.052753,11,14.842775
3/14/2001,33.980957,27.064734,25.943153,10.625,14.47029
3/15/2001,34.448906,27.898914,25.994284,10.875,14.556762
3/16/2001,33.786564,27.52817,25.52659,11,13.625548
3/19/2001,34.110546,28.316,26.01622,10.5,14.633249
3/20/2001,34.470512,29.289217,26.125839,10.25,13.835073
3/21/2001,34.831009,28.455042,26.944328,10,13.10673
3/22/2001,33.821632,27.620846,25.212345,10.1875,12.697666
3/23/2001,34.297482,27.481827,25.504667,10.1875,12.903867
3/26/2001,35.761093,28.084295,26.155064,10.94,12.627828
3/27/2001,36.258575,28.130625,26.951622,11.64,12.970382
3/28/2001,35.804333,27.94525,26.418152,10.8,11.936076
3/29/2001,36.49649,28.130625,25.9139,10,12.02255
3/30/2001,36.409981,29.103844,26.366993,10.23,11.959356
4/2/2001,36.510914,26.833004,26.527767,9.1,12.238722
4/3/2001,35.465477,25.257324,25.636202,8.63,13.322906
4/4/2001,35.955757,25.952475,25.073503,8.4,13.874984
4/5/2001,36.43882,26.693979,26.19891,9.12,15.863778
4/6/2001,36.943504,26.369566,26.01622,8.37,15.793934
4/9/2001,36.26577,25.79677,25.614279,11.18,15.172018
4/10/2001,36.655113,26.493765,26.19891,12.01,15.561131
4/11/2001,36.215305,26.894173,26.0893,13.32,16.206326
4/12/2001,35.833183,26.923841,26.19891,14.67,16.329374
4/16/2001,35.364548,25.930222,26.125839,14.03,15.996806
4/17/2001,35.501534,26.901596,25.833517,14.74,15.797258
